,Price,Title,Visitors,Beds,Bedrooms,Baths,Guest Favorite,Superhost,Review Index,Number of reviews,Host Name,Latitude,Longitude,char_superhost,char_free_cancellation,char_fast_wifi,char_dedicated_workspace,char_great_location,char_furry_friends,char_highly_rated,char_self_check-in,char_great_check-in,char_remote_work,char_communication,char_park,char_experienced_host,municipality
11.0,39.0,Home sweet home  Ampelokipon,2.0,1.47,1.0,1.0,1,1,5.0,7.0,Ioanna,40.6562,22.924,1,1,0,0,0,0,0,0,1,0,0,0,0,
12.0,45.0,Studio Brasil,4.0,3.0,1.2,1.0,1,1,4.0,194.0,Luciano  Despina,40.6687,22.9151,1,0,0,0,0,1,0,1,0,0,0,0,0,Δημοτική Ενότητα Ευόσμου
14.0,70.0,Beautiful apartment 5km from the city center!,5.0,3.0,2.0,1.0,0,1,5.0,6.0,Μαρία,40.6554,22.9135,1,0,0,0,0,0,0,1,0,0,0,0,0,Δημοτική Ενότητα Μενεμένης
16.0,33.0,Sunny studio,3.0,2.05,1.03,0.0,1,1,4.0,23.0,Olga,40.6600365,22.9295923,0,1,0,0,0,0,0,1,0,0,0,0,0,Σταυρούπολη
22.0,50.0,No 3 Xrysa luxury suite,3.0,2.0,1.0,1.0,0,0,4.0,1.49,Vasileios,40.6615,22.8991,0,0,0,0,0,0,0,0,0,0,0,0,0,Δημοτική Ενότητα Ευόσμου
25.0,63.0,Εmerald Luxury Suite in Thessaloniki,4.0,3.0,1.0,1.0,1,1,4.0,57.0,Alexandra,40.669,22.921,1,1,0,0,0,0,0,1,0,0,0,0,0,Δημοτική Ενότητα Ευόσμου
28.0,195.0,"Super lux maisonette, 10 minutes from city center",16.0,10.0,6.0,4.0,0,0,4.0,98.0,Marios,40.6645,22.9017,0,1,0,1,0,0,0,1,0,0,0,0,0,Δημοτική Ενότητα Ευόσμου
30.0,56.0,Honeybee Apartment,3.0,2.0,1.0,1.0,0,0,5.0,4.0,Alekso,40.6697,22.8895,0,1,0,1,0,0,0,0,1,0,0,0,0,Δημοτική Ενότητα Ελευθερίου - Κορδελιού
31.0,49.0,Athenas House,4.0,1.0,1.17,1.0,1,1,4.0,40.0,Athina,40.67004,22.90019,1,1,0,0,0,0,0,0,0,0,0,0,0,Δημοτική Ενότητα Ελευθερίου - Κορδελιού
34.0,40.0,Sunny apartment,3.0,2.0,1.05,0.0,1,1,5.0,56.0,Olga,40.6587,22.9285,0,1,0,0,0,0,0,1,0,0,0,0,0,Σταυρούπολη
37.0,100.0,Bamboo Cosy Apartment Thesaloniki .,6.0,3.0,4.0,1.0,0,1,4.88,2.0,Rena,40.67104,22.89758,1,0,0,0,0,0,0,1,0,0,0,0,0,Δημοτική Ενότητα Ελευθερίου - Κορδελιού
42.0,41.0,#A~ Ιoanna's Apartments,4.0,2.0,1.0,1.0,0,1,4.0,41.0,Ioanna Apartments,40.6662,22.9039,0,1,0,0,0,1,0,0,0,1,0,0,0,Δημοτική Ενότητα Ευόσμου
